Id,SalePrice
1461,119650.42
1462,151503.77
1463,202758.56
1464,204268.55
1465,183622.66
1466,176694.45
1467,185169.3
1468,171386.84
1469,184915.0
1470,124795.28
1471,185439.86
1472,91751.53
1473,96313.14
1474,151373.2
1475,113962.65
1476,397403.4
1477,254647.02
1478,276910.75
1479,276752.6
1480,499504.62
1481,380383.2
1482,198034.45
1483,177607.08
1484,156503.38
1485,174836.02
1486,193309.02
1487,380745.03
1488,232370.23
1489,208317.08
1490,230325.88
1491,186603.1
1492,85487.67
1493,188857.28
1494,310405.94
1495,310588.66
1496,227557.39
1497,190602.45
1498,159477.88
1499,158278.6
1500,156508.31
1501,174414.84
1502,151901.34
1503,271979.3
1504,231423.25
1505,224164.06
1506,183813.28
1507,268475.78
1508,200255.92
1509,158539.05
1510,150573.11
1511,146935.05
1512,176865.56
1513,138778.55
1514,191890.66
1515,205821.78
1516,145963.81
1517,155047.06
1518,131526.23
1519,223162.4
1520,131797.7
1521,131893.52
1522,162229.23
1523,115244.234
1524,124516.86
1525,115052.49
1526,128101.836
1527,112268.484
1528,132037.36
1529,148625.69
1530,164471.72
1531,105666.36
1532,109479.766
1533,142348.17
1534,115623.04
1535,162746.5
1536,107553.445
1537,95731.55
1538,143025.7
1539,170967.62
1540,97337.65
1541,130594.69
1542,142765.97
1543,211640.19
1544,73006.85
1545,113920.484
1546,139072.14
1547,135048.98
1548,133840.55
1549,119037.3
1550,143780.62
1551,119711.6
1552,143862.52
1553,139172.84
1554,118370.97
1555,175046.9
1556,77263.85
1557,106089.84
1558,83166.22
1559,106227.13
1560,156847.64
1561,134414.25
1562,129053.625
1563,115840.25
1564,163177.14
1565,147122.11
1566,224624.81
1567,77401.914
1568,232763.92
1569,157346.69
1570,138197.95
1571,130612.74
1572,145862.8
1573,230280.4
1574,110289.09
1575,202781.0
1576,239456.97
1577,197154.23
1578,127948.98
1579,148028.33
1580,195060.53
1581,149141.53
1582,129053.625
1583,349632.84
1584,228995.97
1585,137605.61
1586,81400.88
1587,94376.06
1588,149164.44
1589,100023.195
1590,135843.66
1591,96560.54
1592,120512.41
1593,132242.27
1594,111065.63
1595,151049.47
1596,245738.52
1597,193695.44
1598,200410.3
1599,166205.55
1600,164148.28
1601,89024.99
1602,114599.46
1603,87106.72
1604,268079.47
1605,248786.78
1606,164558.16
1607,152760.34
1608,219805.06
1609,189563.38
1610,161193.48
1611,139189.7
1612,184247.66
1613,172247.92
1614,118150.93
1615,89687.22
1616,82673.71
1617,92796.79
1618,124722.34
1619,136914.45
1620,167450.03
1621,136435.95
1622,134676.9
1623,288214.72
1624,208684.53
1625,115113.734
1626,164749.58
1627,193432.2
1628,268583.1
1629,171655.94
1630,333455.9
1631,218494.44
1632,247815.66
1633,170050.98
1634,195917.19
1635,189089.4
1636,157524.16
1637,204066.64
1638,203611.75
1639,177368.75
1640,254562.03
1641,166597.84
1642,231307.4
1643,231983.4
1644,222834.89
1645,205351.03
1646,158422.38
1647,146442.2
1648,138594.7
1649,136544.12
1650,121120.66
1651,115504.45
1652,96528.68
1653,101204.47
1654,157401.77
1655,146568.8
1656,146184.77
1657,151122.23
1658,143654.94
1659,125662.93
1660,155840.02
1661,444764.5
1662,386856.75
1663,419768.53
1664,432655.88
1665,315001.4
1666,350008.2
1667,377006.06
1668,362046.94
1669,275866.4
1670,335037.94
1671,276504.6
1672,433929.4
1673,301243.03
1674,240438.44
1675,191804.48
1676,195916.81
1677,217099.67
1678,440076.94
1679,402897.44
1680,326914.9
1681,233049.56
1682,328234.8
1683,182040.84
1684,171559.2
1685,177507.34
1686,173917.22
1687,169776.0
1688,186194.06
1689,185241.53
1690,188341.44
1691,171034.33
1692,249250.11
1693,169029.78
1694,186096.42
1695,161870.84
1696,284147.4
1697,164342.2
1698,400565.0
1699,345135.97
1700,242225.8
1701,261173.81
1702,276697.7
1703,287228.56
1704,311260.25
1705,216592.8
1706,412145.97
1707,219219.11
1708,199124.9
1709,231210.14
1710,212713.25
1711,242190.92
1712,258017.31
1713,281679.22
1714,221051.64
1715,198968.86
1716,189038.39
1717,163963.2
1718,136301.88
1719,203573.5
1720,232116.4
1721,152609.64
1722,136928.16
1723,164094.12
1724,223304.19
1725,225775.33
1726,202899.0
1727,171102.03
1728,178603.28
1729,170294.27
1730,154454.81
1731,124851.11
1732,133695.88
1733,115860.03
1734,127506.19
1735,129989.18
1736,118744.66
